question_id,spatial_waveform,temporal_waveform,stimuli_video
0,50,1,https://youtu.be/-TIVq_J_6sc
1,100,16,https://youtu.be/a_2H7CT_j00
2,100,8,https://youtu.be/zFc7ODjhfzo
3,35,1,https://youtu.be/qEsHKwGHIPI
4,20,1,https://youtu.be/MNYyAfvgV3Y
5,50,16,https://youtu.be/ShSDG9k0zhc
6,35,8,https://youtu.be/t-z563em9Ic
7,50,4,https://youtu.be/pSbDu5db1pY
8,20,4,https://youtu.be/oR0ugFU-JO0
9,35,16,https://youtu.be/-Z-7rMwgRVc
10,20,8,https://youtu.be/cPv0UyIo6rQ
11,100,4,https://youtu.be/xlQ5sQ8epzk
12,100,1,https://youtu.be/VOM0xVC4PR8
13,50,8,https://youtu.be/vvC4Nllhz3c
14,20,16,https://youtu.be/1tza8JZAReU
15,35,4,https://youtu.be/7_bTw90_okA
