user_id,question_id,pleasant,intense,stimulating,complex
1,0,4,6,5,4
2,0,6,3,5,2
3,0,5,5,6,6
4,0,5,4,4,4
5,0,8,7,7,4
6,0,9,6,9,1
7,0,1,6,7,6
8,0,1,10,10,10
9,0,4,2,3,2
10,0,3,6,5,3
11,0,4,3,3,3
12,0,4,7,6,5
13,0,5,2,2,2
14,0,5,4,2,2
15,0,7,9,4,7
16,0,5,1,5,1
17,0,5,4,3,1
18,0,7,5,7,3
19,0,10,8,10,10
20,0,3,8,6,7
21,0,8,2,2,1
22,0,5,3,2,6
23,0,5,4,5,7
24,0,10,8,7,1
25,0,8,9,7,2
26,0,2,9,9,6
27,0,3,5,4,4
28,0,8,3,1,5
1,1,2,8,3,5
2,1,6,4,7,3
3,1,5,5,5,7
4,1,4,4,4,3
5,1,5,6,7,5
6,1,7,6,8,4
7,1,1,5,6,5
8,1,1,10,10,10
9,1,3,3,2,3
10,1,4,7,7,4
11,1,2,7,5,6
12,1,5,6,9,7
13,1,7,5,4,4
14,1,5,6,6,5
15,1,3,9,8,9
16,1,6,5,7,6
17,1,4,7,7,6
18,1,7,5,5,5
19,1,10,8,10,10
20,1,3,7,5,5
21,1,5,3,6,3
22,1,4,5,5,5
23,1,6,7,6,5
24,1,7,8,3,3
25,1,4,5,7,3
26,1,2,8,7,7
27,1,2,3,4,3
28,1,1,10,9,5
1,2,5,3,3,6
2,2,8,6,7,5
3,2,5,5,5,6
4,2,4,5,5,5
5,2,6,6,7,5
6,2,4,4,4,6
7,2,1,6,6,9
8,2,5,5,5,1
9,2,4,3,2,3
10,2,2,8,5,7
11,2,5,6,4,4
12,2,8,5,8,10
13,2,5,3,4,3
14,2,4,5,5,6
15,2,2,8,6,8
16,2,5,5,6,4
17,2,4,6,4,5
18,2,10,7,7,6
19,2,9,9,10,10
20,2,1,5,6,6
21,2,6,5,5,5
22,2,5,2,3,1
23,2,5,4,5,5
24,2,8,6,7,1
25,2,6,8,5,6
26,2,5,5,6,4
27,2,5,4,5,5
28,2,2,7,7,5
1,3,7,6,7,6
2,3,4,2,3,4
3,3,5,5,5,5
4,3,4,4,4,3
5,3,6,6,7,4
6,3,7,4,8,4
7,3,2,3,4,7
8,3,5,5,5,1
9,3,3,3,2,4
10,3,4,5,4,3
11,3,3,5,5,4
12,3,7,8,8,8
13,3,5,5,5,4
14,3,5,7,5,3
15,3,8,6,6,5
16,3,5,1,1,1
17,3,4,1,1,1
18,3,7,6,6,5
19,3,10,10,10,10
20,3,1,9,7,8
21,3,8,4,4,5
22,3,6,5,2,2
23,3,6,7,5,6
24,3,9,6,7,1
25,3,5,6,5,6
26,3,7,3,4,3
27,3,3,6,5,5
28,3,5,5,5,5
1,4,8,4,6,4
2,4,4,3,4,2
3,4,5,5,6,5
4,4,6,4,4,4
5,4,6,5,8,3
6,4,7,3,4,2
7,4,1,4,4,4
8,4,10,6,7,7
9,4,3,3,3,2
10,4,8,3,3,4
11,4,5,6,7,5
12,4,10,10,10,10
13,4,7,2,2,2
14,4,7,2,3,2
15,4,8,7,4,7
16,4,6,1,1,1
17,4,4,1,1,1
18,4,5,4,5,3
19,4,10,10,10,10
20,4,7,8,4,4
21,4,9,2,2,2
22,4,5,5,1,2
23,4,7,6,6,5
24,4,6,2,5,1
25,4,5,4,5,5
26,4,6,3,3,3
27,4,4,4,6,5
28,4,6,5,5,5
1,5,3,5,4,5
2,5,2,3,6,5
3,5,5,5,5,7
4,5,4,4,4,4
5,5,4,6,6,6
6,5,5,6,5,6
7,5,1,6,7,9
8,5,4,7,6,8
9,5,3,2,2,3
10,5,4,7,6,5
11,5,3,6,5,4
12,5,6,5,7,5
13,5,5,3,3,3
14,5,6,5,6,4
15,5,3,5,6,8
16,5,5,1,3,1
17,5,5,5,5,4
18,5,10,7,7,6
19,5,10,8,10,10
20,5,3,6,7,7
21,5,5,5,5,6
22,5,3,6,5,5
23,5,5,6,6,7
24,5,4,7,6,3
25,5,4,5,6,5
26,5,6,4,5,6
27,5,5,5,6,5
28,5,8,6,3,5
1,6,9,8,8,6
2,6,8,4,3,2
3,6,5,5,6,5
4,6,7,5,5,5
5,6,7,7,8,3
6,6,9,6,7,2
7,6,1,7,7,3
8,6,10,1,5,1
9,6,3,3,3,2
10,6,6,8,6,6
11,6,4,4,6,4
12,6,8,6,6,8
13,6,7,5,6,3
14,6,6,5,7,4
15,6,9,5,7,3
16,6,7,5,5,4
17,6,9,6,6,2
18,6,7,4,4,2
19,6,10,8,10,10
20,6,3,7,4,6
21,6,9,4,4,6
22,6,5,4,3,5
23,6,7,8,9,6
24,6,2,7,6,7
25,6,7,5,5,2
26,6,3,8,8,6
27,6,9,5,7,6
28,6,9,6,2,5
1,7,6,4,5,4
2,7,6,3,3,2
3,7,5,5,5,6
4,7,5,5,5,4
5,7,6,7,7,5
6,7,5,5,4,6
7,7,1,5,5,6
8,7,10,4,8,1
9,7,3,2,2,2
10,7,4,4,5,2
11,7,5,4,5,6
12,7,5,4,7,9
13,7,5,2,2,2
14,7,6,4,7,3
15,7,7,5,6,7
16,7,5,1,1,1
17,7,4,4,5,5
18,7,8,5,5,4
19,7,10,9,10,10
20,7,3,3,5,7
21,7,8,2,5,6
22,7,5,5,1,5
23,7,7,8,9,8
24,7,4,6,7,6
25,7,6,4,6,5
26,7,4,4,5,4
27,7,6,6,6,6
28,7,8,5,2,5
1,8,5,5,4,3
2,8,3,4,4,4
3,8,5,5,7,5
4,8,7,6,6,5
5,8,6,8,7,4
6,8,9,7,7,4
7,8,1,6,6,2
8,8,6,4,6,1
9,8,4,3,3,4
10,8,6,2,4,2
11,8,6,7,7,5
12,8,5,2,4,4
13,8,7,4,4,3
14,8,5,7,7,5
15,8,8,6,6,8
16,8,6,2,2,1
17,8,5,2,2,2
18,8,7,5,5,3
19,8,10,7,10,10
20,8,8,7,6,4
21,8,3,5,5,4
22,8,7,6,2,5
23,8,6,8,7,8
24,8,8,5,5,1
25,8,5,3,5,2
26,8,2,7,6,8
27,8,5,5,6,7
28,8,9,5,2,5
1,9,3,5,5,4
2,9,3,7,7,7
3,9,5,5,5,7
4,9,4,4,4,4
5,9,3,7,8,6
6,9,4,6,5,6
7,9,1,5,5,9
8,9,3,8,7,6
9,9,4,3,3,3
10,9,9,8,6,9
11,9,1,8,5,6
12,9,6,5,3,6
13,9,5,4,4,4
14,9,7,7,8,6
15,9,5,7,5,8
16,9,6,5,7,3
17,9,3,4,4,6
18,9,10,7,7,7
19,9,10,8,10,10
20,9,2,8,7,8
21,9,2,7,8,7
22,9,4,6,6,6
23,9,5,7,6,7
24,9,9,1,2,1
25,9,7,6,6,6
26,9,2,7,6,5
27,9,4,7,6,9
28,9,1,8,7,5
1,10,4,5,4,3
2,10,5,3,5,7
3,10,5,5,5,6
4,10,4,4,4,4
5,10,3,8,7,5
6,10,6,5,4,5
7,10,1,6,5,8
8,10,9,7,7,4
9,10,4,3,3,3
10,10,4,5,6,7
11,10,2,5,5,5
12,10,9,8,8,8
13,10,4,4,4,3
14,10,4,5,4,4
15,10,8,7,6,7
16,10,6,1,4,1
17,10,4,4,2,4
18,10,8,5,5,5
19,10,10,9,9,10
20,10,2,8,9,8
21,10,9,8,9,9
22,10,5,5,2,5
23,10,8,9,8,7
24,10,8,2,3,1
25,10,4,7,6,6
26,10,3,6,5,6
27,10,5,6,7,8
28,10,4,5,5,5
