user_id,question_id,pleasant,intense,stimulating,complex
1,0,5,5,7,4
2,0,6,4,7,5
3,0,7,6,7,7
4,0,3,7,5,3
5,0,6,5,4,3
6,0,8,3,4,2
7,0,5,3,3,1
8,0,5,3,5,1
9,0,3,7,8,6
10,0,4,4,4,5
11,0,3,5,5,6
12,0,3,7,7,3
13,0,7,7,10,6
14,0,7,6,8,5
15,0,2,6,7,5
16,0,5,4,4,3
17,0,7,6,8,8
18,0,5,3,2,2
19,0,3,8,7,5
20,0,8,2,2,6
21,0,3,3,2,1
22,0,1,3,4,2
23,0,4,3,1,1
24,0,5,7,7,3
25,0,5,3,6,5
26,0,7,1,6,3
27,0,5,8,7,9
28,0,4,8,7,5
29,0,7,6,5,2
1,1,5,5,7,5
2,1,7,7,8,6
3,1,6,3,6,6
4,1,2,9,7,7
5,1,4,7,5,6
6,1,7,6,5,4
7,1,5,4,4,2
8,1,5,2,5,4
9,1,6,3,5,5
10,1,2,3,4,4
11,1,3,4,7,5
12,1,2,9,6,4
13,1,8,8,9,8
14,1,5,8,7,8
15,1,3,5,5,4
16,1,5,4,4,3
17,1,7,6,8,8
18,1,5,3,3,2
19,1,3,6,4,5
20,1,3,3,2,8
21,1,3,2,2,1
22,1,5,3,3,2
23,1,3,3,2,2
24,1,5,3,3,3
25,1,4,6,4,7
26,1,7,1,4,1
27,1,7,9,6,7
28,1,7,3,5,3
29,1,6,4,4,2
1,2,8,3,5,3
2,2,6,8,8,8
3,2,3,6,5,8
4,2,9,7,7,3
5,2,7,4,4,3
6,2,6,7,6,4
7,2,3,6,4,4
8,2,3,3,5,4
9,2,4,7,4,6
10,2,7,7,6,5
11,2,5,6,5,5
12,2,5,4,5,2
13,2,6,9,7,7
14,2,7,9,8,8
15,2,8,3,3,3
16,2,5,4,4,3
17,2,8,5,7,8
18,2,5,3,3,2
19,2,2,9,7,6
20,2,2,1,1,8
21,2,3,2,2,1
22,2,2,4,4,2
23,2,5,2,1,1
24,2,3,7,7,3
25,2,7,4,7,5
26,2,7,1,4,1
27,2,7,10,3,7
28,2,4,4,6,4
29,2,7,6,5,2
1,3,4,7,8,7
2,3,4,5,5,7
3,3,8,2,8,4
4,3,8,2,6,6
5,3,3,8,6,7
6,3,4,5,7,6
7,3,1,8,6,8
8,3,5,5,5,6
9,3,6,3,4,4
10,3,1,9,7,8
11,3,3,8,7,7
12,3,1,10,5,6
13,3,5,5,4,3
14,3,6,7,7,5
15,3,2,7,7,6
16,3,5,4,4,3
17,3,7,6,7,8
18,3,6,3,4,2
19,3,1,10,8,2
20,3,1,8,2,7
21,3,3,2,3,1
22,3,2,6,7,7
23,3,3,3,4,1
24,3,3,7,8,4
25,3,6,4,6,4
26,3,7,2,4,2
27,3,8,9,7,8
28,3,7,6,4,4
29,3,5,5,7,3
1,4,2,9,8,7
2,4,9,8,10,8
3,4,5,6,4,7
4,4,8,8,6,9
5,4,4,6,5,6
6,4,5,4,5,5
7,4,1,6,7,8
8,4,5,6,4,6
9,4,5,5,3,4
10,4,4,7,7,7
11,4,3,6,5,5
12,4,1,7,3,4
13,4,7,6,7,5
14,4,4,7,6,8
15,4,3,5,6,6
16,4,5,4,4,3
17,4,7,6,6,8
18,4,5,3,3,3
19,4,3,7,6,4
20,4,2,2,1,3
21,4,3,2,2,1
