user_id,embody,valence,arousal,emotion,depiction
1,3,3,3,Anxiety,Depression
2,4,3,4,Excitement,Depression
3,3,4,2,Serenity,Depression
4,2,2,2,Anxiety,Depression
5,2,4,2,Serenity,Depression
6,3,4,3,Depression,Depression
7,2,3,2,Depression,Depression
8,4,4,1,Anxiety,Depression
9,2,2,3,Serenity,Depression
10,4,5,5,Serenity,Depression
11,2,3,3,Serenity,Depression
12,4,3,4,Serenity,Depression
13,1,3,2,Serenity,Depression
14,4,4,3,Serenity,Depression
15,3,2,3,Anxiety,Depression
16,4,4,2,Serenity,Depression
17,4,3,5,Anxiety,Depression
18,5,5,5,Serenity,Depression
19,4,4,4,Serenity,Depression
20,4,4,2,Serenity,Depression
21,3,4,4,Excitement,Depression
22,2,2,1,Serenity,Depression
23,2,3,3,Anxiety,Depression
24,2,2,2,Anxiety,Depression
25,3,3,3,Depression,Depression
26,2,3,2,Depression,Depression
27,2,3,2,Depression,Depression
28,4,3,4,Anxiety,Depression
29,1,2,3,Anxiety,Depression
30,3,3,2,Serenity,Depression
31,2,3,2,Serenity,Depression
32,2,4,4,Serenity,Depression
33,2,2,3,Depression,Depression
34,5,5,5,Serenity,Depression
35,1,3,1,Anxiety,Depression
36,2,3,2,Depression,Depression
37,4,4,2,Excitement,Depression
38,4,4,1,Serenity,Depression
39,2,4,1,Serenity,Depression
40,4,5,2,Serenity,Depression
41,2,4,1,Serenity,Depression
42,3,3,3,Serenity,Depression
43,4,5,5,Serenity,Depression
44,4,5,1,Serenity,Depression
45,1,2,4,Anxiety,Depression
46,4,3,2,Serenity,Depression
47,1,2,2,Anxiety,Depression
48,4,4,4,Serenity,Depression
49,3,3,3,Serenity,Depression
50,1,3,2,Serenity,Depression
1,5,4,4,Serenity,Excitement
2,3,4,3,Serenity,Excitement
3,5,3,4,Serenity,Excitement
4,2,2,3,Anxiety,Excitement
5,3,3,4,Excitement,Excitement
6,3,2,2,Anxiety,Excitement
7,3,3,4,Serenity,Excitement
8,3,4,4,Serenity,Excitement
9,1,1,5,Anxiety,Excitement
10,4,4,4,Serenity,Excitement
11,4,4,2,Serenity,Excitement
12,3,3,3,Anxiety,Excitement
13,1,2,2,Serenity,Excitement
14,4,2,5,Anxiety,Excitement
15,2,3,4,Anxiety,Excitement
16,3,4,3,Serenity,Excitement
17,3,3,4,Excitement,Excitement
18,2,3,2,Anxiety,Excitement
19,3,3,2,Anxiety,Excitement
20,3,2,4,Anxiety,Excitement
21,3,3,3,Depression,Excitement
22,2,2,3,Anxiety,Excitement
23,1,1,1,Anxiety,Excitement
24,5,1,5,Anxiety,Excitement
25,5,2,4,Anxiety,Excitement
26,3,2,4,Excitement,Excitement
27,5,4,5,Excitement,Excitement
28,4,3,4,Anxiety,Excitement
29,1,1,4,Anxiety,Excitement
30,2,1,1,Anxiety,Excitement
31,3,4,4,Excitement,Excitement
32,5,5,5,Anxiety,Excitement
33,3,2,4,Anxiety,Excitement
34,3,2,4,Anxiety,Excitement
35,3,2,4,Anxiety,Excitement
36,3,3,4,Excitement,Excitement
37,4,4,4,Excitement,Excitement
38,1,1,1,Anxiety,Excitement
39,3,2,4,Anxiety,Excitement
40,1,1,3,Depression,Excitement
41,2,3,4,Serenity,Excitement
42,5,3,5,Excitement,Excitement
43,2,4,3,Excitement,Excitement
44,4,4,4,Excitement,Excitement
45,4,3,3,Excitement,Excitement
46,5,5,5,Excitement,Excitement
47,3,4,3,Excitement,Excitement
48,4,1,5,Anxiety,Excitement
49,3,3,3,Serenity,Excitement
50,4,3,4,Anxiety,Excitement
1,3,2,4,Anxiety,Anxiety
2,1,3,1,Serenity,Anxiety
3,3,3,2,Serenity,Anxiety
4,2,3,4,Anxiety,Anxiety
5,2,1,1,Depression,Anxiety
6,3,3,3,Anxiety,Anxiety
7,4,3,2,Anxiety,Anxiety
8,2,3,3,Anxiety,Anxiety
9,3,4,5,Excitement,Anxiety
10,4,4,1,Serenity,Anxiety
11,4,4,4,Excitement,Anxiety
12,4,3,4,Anxiety,Anxiety
13,3,3,4,Depression,Anxiety
14,4,4,4,Anxiety,Anxiety
15,3,2,3,Anxiety,Anxiety
16,4,4,4,Excitement,Anxiety
17,2,3,3,Serenity,Anxiety
18,2,4,3,Depression,Anxiety
